CEREAL,ADVERTISED AS EXTRA HEALTHY,ADULTS/KIDS,COMMENTS,ESTIMATED,Cal/g,BOWL SIZE,Cereal in g,Skim Milk in g,Calories Cereal,Total calories,Cereal in g,Total Calories ,
Krave S'mores,0,A,Thingys,1,3.87,0,26,149,101,153,31,160,
Life Cinnamon,0,A,Squares,0,3.75,0,46,171,173,232,32,160,
Life Original,0,A,Squares,1,3.75,0,46,171,173,232,33,164,
Lucky Charms,0,C,Thingys,1,4.07,1,60,390,244,381,27,150,
Market Pantry Cinnamon Oat Bites,0,A,Squares,1,1.00,1,94,411,94,238,31,71,
Market Pantry Corn Flakes,0,A,Flakes,1,4.06,1,58,502,236,411,32,170,
Market Pantry Frosted Bites with Marshmallows,0,A,Thingys,1,4.07,1,60,390,244,381,27,150,
Market Pantry Frosted Shredded Wheat,0,A,Mini Wheats,1,3.46,1,122,364,422,550,55,230,
Market Pantry Frosted Shredded Wheat Strawberry,0,A,Mini Wheats,1,3.64,1,122,364,444,571,55,240,
Market Pantry Honey Nut Toasted Oats,0,A,Rings,1,4.00,1,46,342,184,304,30,160,
Market Pantry Honey Oat Mixers,0,A,Flakes,1,4,1,58,502,232,408,30,160,
Market Pantry Honey Oat Mixers with Almonds,0,A,Flakes,1,4.193548387,1,58,502,243,419,31,170,
Market Pantry Sugar Frosted Flakes,0,A,Flakes,1,4,1,58,502,232,408,31,164,
Market Pantry Toasted Cinnamon Squares,0,A,Squares,1,4.19,1,94,411,394,538,31,170,
Market Pantry Toasted Oats,0,A,Rings,1,4,1,46,342,184,304,30,160,
Market Pantry Toasted Rice Cereal,0,A,Crispies,1,3.94,1,65,327,256,371,33,170,
Mini Wheat Crunch,0,A,Mini Wheats,1,3.64,1,122,364,444,571,55,240,
Mini Wheats,0,A,Mini Wheats,0,3.51,1,122,364,428,556,54,230,
Mini Wheats Blueberry,0,A,Mini Wheats,1,3.39,1,122,364,414,541,56,230,
Mini Wheats Chocolate,0,A,Mini Wheats,1,3.57,1,122,364,436,563,56,240,
Mini Wheats Little Bites Chocolate,0,A,Mini Wheats,1,3.57,0,63,195,225,293,56,240,
Mini Wheats Maple Brown Sugar,0,A,Mini Wheats,1,3.45,1,122,364,421,548,55,230,
Mini Wheats Straweberry,0,A,Mini Wheats,1,3.45,1,122,364,421,548,55,230,
Mini Wheats Touch of Fruit,0,A,Mini Wheats,1,3.45,1,122,364,421,548,55,230,
Oops all Berries,0,C,Balls,1,4.06,1,64,369,260,389,32,170,
Peanut Butter Toast Crunch,0,C,Squares,1,4.19,0,46,171,193,253,31,,
Post Alpha Bits,0,C,Thingys,1,4,0,,,0,0,30,160,
Post Blueberry Morning,0,A,Flakes,1,3.70,1,58,502,215,391,27,140,
Post Cocoa Pebbles,0,C,Crispies,1,4.18,0,27,123,113,156,29,161,
Post Fruity Pebbles,0,C,Crispies,1,4.07,0,27,123,110,153,27,150,
Post Golden Crisp,0,C,Smacks,1,4.07,1,55,470,224,388,29,158,
Post Good Morenings Waffle Crunch,0,A,Thingys,1,4.00,0,24,151,96,149,30,160,
Post Raisin Bran,0,A,Flakes,1,3.22,0,25,157,81,135,59,230,
Quaker Corn Bran Crunch,0,A,Squares,1,3.33,0,46,171,153,213,27,130,
Quaker Oatmeal Squares Brown Sugar,1,A,Squares,1,3.75,0,46,171,173,232,56,250,
Quaker Oatmeal Squares Cinnamon,1,A,Squares,1,3.75,0,46,171,173,232,56,250,
Raisin Bran,0,A,Flakes,1,3.22,1,58,502,187,362,59,230,
Raisin Bran Cinnamon Almond,0,A,Flakes,1,4.16,1,58,502,241,417,48,240,
Raisin Bran Crunch,0,A,Flakes,1,3.58,1,58,502,208,383,53,230,
Raisin Bran Omega-3,1,A,Flakes,1,3.4,1,58,502,197,373,53,220,
Raisin Nut Bran,0,A,Flakes,1,3.67,1,58,502,213,389,49,220,
Rice Crispies,0,C,Crispies,1,3.80,1,65,327,247,361,33,165,
Rice Crispies Multigrain Shapes,0,C,Thingys,1,4.07,1,60,390,244,381,27,150,
Rice Krispie Treats,0,C,Crispies,1,4.00,1,65,327,260,374,30,160,
Special K Chocolate Almond,1,A,Flakes,1,3.93,0,25,157,98,153,28,150,
Special K Chocolate Strawberry,1,A,Flakes,1,3.79,0,25,157,95,150,29,150,
Special K Chocolatey Delight,1,A,Flakes,1,3.87,0,25,157,97,152,31,160,
Special K Cinnamon Pecan,1,A,Flakes,1,3.67,0,25,157,92,147,30,150,
Special K Fruit and Yogurt,1,A,Flakes,1,3.75,0,25,157,94,149,32,160,
Special K Multigrain,1,A,Flakes,1,3.55,0,25,157,89,144,31,150,
Special K Original,1,A,Flakes,1,3.87,0,25,157,97,152,31,160,
Special K Protein,1,A,Flakes,1,3.75,0,25,157,94,149,32,160,
Special K Red Berries,1,A,Flakes,1,3.55,0,25,157,89,144,31,150,
Special K Vanilla Almond,1,A,Flakes,1,3.67,0,25,157,92,147,30,150,
Total Whole Grain,1,A,Flakes,1,3.33,1,58,502,193,369,30,140,
Wegmans Apple Snaps,0,A,Rings,1,3.823529412,0,20,127,76,121,34,170,
Wegmans Berry Corn Crunch,0,A,Balls,1,3.846153846,0,30,136,115,163,26,140,
Wegmans Bite Size Frosted Shredded Wheat,0,A,Mini Wheats,1,3.45,0,122,364,421,548,55,230,
